type,index,data,valor,descricao,fitid,matched,matched_info
TXT,72,20250818,73134.00,"TRANSF 7973-9 86,78",FB_7313400_20250818,True,fitid:FB_7313400_20250818
TXT,73,20250818,73134.00,"TRANSF 7973-9 426,78",FB_7313400_20250818,True,fitid:FB_7313400_20250818
TXT,74,20250818,73134.00,"TRANSF 7973-9 196,68",FB_7313400_20250818,True,fitid:FB_7313400_20250818
TXT,75,20250818,73134.00,"TRANSF 7973-9 104,46",FB_7313400_20250818,True,fitid:FB_7313400_20250818
TXT,76,20250818,73134.00,"TRANSF 7973-9 7.190,53",FB_7313400_20250818,True,fitid:FB_7313400_20250818
TXT,77,20250818,73134.00,"TRANSF 7973-9 291,14",FB_7313400_20250818,True,fitid:FB_7313400_20250818
TXT,78,20250818,73134.00,"TRANSF 7973-9 654,42",FB_7313400_20250818,True,fitid:FB_7313400_20250818
TXT,79,20250818,73134.00,"TRANSF 7973-9 6.510,66",FB_7313400_20250818,True,fitid:FB_7313400_20250818
TXT,80,20250819,-9145.69,TEGEX GAR 7731-34973,FB_914569_20250819,True,fitid:FB_914569_20250819
TXT,81,20250819,-9188.51,TEGEX GAR 7731-34973,FB_918851_20250819,True,fitid:FB_918851_20250819
TXT,82,20250819,73134.00,"TRANSF 7973-9 12.803,09",FB_7313400_20250819,True,fitid:FB_7313400_20250819
TXT,83,20250820,46.26,TEGEX GAR 7731-34973-9,FB_4626_20250820,True,fitid:FB_4626_20250820
TXT,84,20250820,3300.30,PIX TRANSF MULTIPL20/08,FB_330030_20250820,True,fitid:FB_330030_20250820
TXT,85,20250820,73134.00,"TRANSF 7973-9 11.163,87",FB_7313400_20250820,True,fitid:FB_7313400_20250820
TXT,86,20250820,-5238.02,SISPAG FORNECEDORES,FB_523802_20250820,True,fitid:FB_523802_20250820
TXT,87,20250820,-1054.93,SISPAG FORNECEDORES,FB_105493_20250820,True,fitid:FB_105493_20250820
TXT,88,20250820,-5000.00,SISPAG FORNECEDORES,FB_500000_20250820,True,fitid:FB_500000_20250820
TXT,89,20250821,-9185.16,TEGEX GAR 7731-34973,FB_918516_20250821,True,fitid:FB_918516_20250821
TXT,90,20250821,63.51,TEGEX GAR 7731-34973-9,FB_6351_20250821,True,fitid:FB_6351_20250821
TXT,91,20250821,8366.36,PIX TRANSF PORT GA21/,FB_836636_20250821,True,fitid:FB_836636_20250821
TXT,92,20250821,3336.44,PIX TRANSF MULTIPL21/08,FB_333644_20250821,True,fitid:FB_333644_20250821
TXT,93,20250821,73134.00,"TRANSF 7973-9 13.621,58",FB_7313400_20250821,True,fitid:FB_7313400_20250821
TXT,94,20250821,-20616.97,SISPAG FORNECEDORES,FB_2061697_20250821,True,fitid:FB_2061697_20250821
TXT,95,20250821,-583.93,SISPAG FORNECEDORES,FB_58392_20250821,True,fitid:FB_58392_20250821
TXT,96,20250821,-290.31,SALDO TOTAL DISPON#VEL DIA,FB_29031_20250821,True,fitid:FB_29031_20250821
TXT,97,20250822,-9134.87,TEGEX GAR 7731-34973,FB_913487_20250822,True,fitid:FB_913487_20250822
TXT,98,20250822,-9241.52,TEGEX GAR 7731-34973,FB_924152_20250822,True,fitid:FB_924152_20250822
TXT,99,20250822,73134.00,"TRANSF 7973-9 12.905,50",FB_7313400_20250822,True,fitid:FB_7313400_20250822
TXT,100,20250825,73134.00,"TRANSF 7973-9 83,33",FB_7313400_20250825,True,fitid:FB_7313400_20250825
TXT,101,20250825,73134.00,"TRANSF 7973-9 248,00",FB_7313400_20250825,True,fitid:FB_7313400_20250825
TXT,102,20250825,73134.00,"TRANSF 7973-9 210,82",FB_7313400_20250825,True,fitid:FB_7313400_20250825
TXT,103,20250825,73134.00,"TRANSF 7973-9 6.272,97",FB_7313400_20250825,True,fitid:FB_7313400_20250825
TXT,104,20250825,73134.00,"TRANSF 7973-9 231,02",FB_7313400_20250825,True,fitid:FB_7313400_20250825
TXT,105,20250825,73134.00,"TRANSF 7973-9 14.071,93",FB_7313400_20250825,True,fitid:FB_7313400_20250825
TXT,106,20250825,73134.00,"TRANSF 7973-9 216,15",FB_7313400_20250825,True,fitid:FB_7313400_20250825
TXT,107,20250825,73134.00,"TRANSF 7973-9 4.036,19",FB_7313400_20250825,True,fitid:FB_7313400_20250825
TXT,108,20250825,73134.00,"TRANSF 7973-9 33,65",FB_7313400_20250825,True,fitid:FB_7313400_20250825
TXT,109,20250825,73134.00,"TRANSF 7973-9 5.423,81",FB_7313400_20250825,True,fitid:FB_7313400_20250825
TXT,110,20250825,73134.00,"TRANSF 7973-9 196,45",FB_7313400_20250825,True,fitid:FB_7313400_20250825
TXT,111,20250825,73134.00,"TRANSF 7973-9 273,16",FB_7313400_20250825,True,fitid:FB_7313400_20250825
TXT,112,20250825,73134.00,"TRANSF 7973-9 5.548,48",FB_7313400_20250825,True,fitid:FB_7313400_20250825
TXT,113,20250825,73134.00,"TRANSF 7973-9 475,59",FB_7313400_20250825,True,fitid:FB_7313400_20250825
TXT,114,20250825,73134.00,"TRANSF 7973-9 428,32",FB_7313400_20250825,True,fitid:FB_7313400_20250825
TXT,115,20250826,-9157.04,TEGEXGAR7731-34973,FB_915704_20250826,True,fitid:FB_915704_20250826
TXT,116,20250826,-9275.40,TEGEXGAR7731-34973,FB_927540_20250826,True,fitid:FB_927540_20250826
TXT,117,20250826,73134.00,"TRANSF 7973-9 19.258,75",FB_7313400_20250826,True,fitid:FB_7313400_20250826
TXT,118,20250827,73134.00,"TRANSF 7973-9 15.530,31",FB_7313400_20250827,True,fitid:FB_7313400_20250827
TXT,119,20250828,-9287.27,TEGEX GAR 7731-34973,FB_928727_20250828,True,fitid:FB_928727_20250828
TXT,120,20250828,7.70,TEGEX GAR 7731-34973-9,FB_770_20250828,True,fitid:FB_770_20250828
TXT,121,20250828,-9283.70,TEGEX GAR 7731-34973,FB_928370_20250828,True,fitid:FB_928370_20250828
TXT,122,20250828,73134.00,"TRANSF 7973-9 17.889,19",FB_7313400_20250828,True,fitid:FB_7313400_20250828

OFX_ONLY,index,data,valor,descricao,fitid
OFX,14,20250804,73134.00,"TRANSF7973-9 3.028,00",FB_7313400_20250804
OFX,15,20250804,73134.00,"TRANSF7973-9 5.156,16",FB_7313400_20250804
OFX,17,20250804,73134.00,"TRANSF 7973-9 325,05",FB_7313400_20250804
OFX,18,20250804,73134.00,"TRANSF 7973-9 332,96",FB_7313400_20250804
OFX,19,20250804,73134.00,"TRANSF 7973-9 39,00",FB_7313400_20250804
OFX,20,20250804,73134.00,"TRANSF 7973-9 3.888,42",FB_7313400_20250804
OFX,21,20250804,73134.00,"TRANSF 7973-9 28,91",FB_7313400_20250804
OFX,22,20250804,73134.00,"TRANSF 7973-9 421,79",FB_7313400_20250804
OFX,23,20250804,73134.00,"TRANSF 7973-9 1.257,11",FB_7313400_20250804
OFX,24,20250804,73134.00,"TRANSF 7973-9 7.927,59",FB_7313400_20250804
OFX,25,20250804,73134.00,"TRANSF7973-9 77,39",FB_7313400_20250804
OFX,26,20250804,73134.00,"TRANSF7973-9 123,71",FB_7313400_20250804
OFX,31,20250805,73134.00,"TRANSF 7973-9 13.051,56",FB_7313400_20250805
OFX,32,20250805,73134.00,"TRANSF 7973-9 13.113,91",FB_7313400_20250805
OFX,33,20250805,73134.00,"TRANSF 7973-9 714,02",FB_7313400_20250805
OFX,44,20250811,73134.00,"TRANSF 7973-9 33,62",FB_7313400_20250811
OFX,46,20250811,73134.00,"TRANSF 7973-9 705,97",FB_7313400_20250811
OFX,48,20250811,73134.00,"TRANSF 7973-9 51,55",FB_7313400_20250811
OFX,49,20250811,73134.00,"TRANSF 7973-9 8.865,79",FB_7313400_20250811
OFX,66,20250818,73134.00,"TRANSF 7973-9 2.382,09",FB_7313400_20250818
OFX,67,20250818,73134.00,"TRANSF 7973-9 385,13",FB_7313400_20250818
OFX,68,20250818,73134.00,"TRANSF 7973-9 261,74",FB_7313400_20250818
OFX,69,20250818,73134.00,"TRANSF 7973-9 25,33",FB_7313400_20250818
OFX,70,20250818,73134.00,"TRANSF 7973-9 14.377,54",FB_7313400_20250818
OFX,71,20250818,73134.00,"TRANSF 7973-9 6.916,18",FB_7313400_20250818
OFX,72,20250818,73134.00,"TRANSF 7973-9 86,78",FB_7313400_20250818
OFX,73,20250818,73134.00,"TRANSF 7973-9 426,78",FB_7313400_20250818
OFX,74,20250818,73134.00,"TRANSF 7973-9 196,68",FB_7313400_20250818
OFX,75,20250818,73134.00,"TRANSF 7973-9 104,46",FB_7313400_20250818
OFX,76,20250818,73134.00,"TRANSF 7973-9 7.190,53",FB_7313400_20250818
OFX,77,20250818,73134.00,"TRANSF 7973-9 291,14",FB_7313400_20250818
OFX,78,20250818,73134.00,"TRANSF 7973-9 654,42",FB_7313400_20250818
OFX,100,20250825,73134.00,"TRANSF 7973-9 83,33",FB_7313400_20250825
OFX,101,20250825,73134.00,"TRANSF 7973-9 248,00",FB_7313400_20250825
OFX,102,20250825,73134.00,"TRANSF 7973-9 210,82",FB_7313400_20250825
OFX,103,20250825,73134.00,"TRANSF 7973-9 6.272,97",FB_7313400_20250825
OFX,104,20250825,73134.00,"TRANSF 7973-9 231,02",FB_7313400_20250825
OFX,105,20250825,73134.00,"TRANSF 7973-9 14.071,93",FB_7313400_20250825
OFX,106,20250825,73134.00,"TRANSF 7973-9 216,15",FB_7313400_20250825
OFX,107,20250825,73134.00,"TRANSF 7973-9 4.036,19",FB_7313400_20250825
OFX,108,20250825,73134.00,"TRANSF 7973-9 33,65",FB_7313400_20250825
OFX,109,20250825,73134.00,"TRANSF 7973-9 5.423,81",FB_7313400_20250825
OFX,110,20250825,73134.00,"TRANSF 7973-9 196,45",FB_7313400_20250825
OFX,111,20250825,73134.00,"TRANSF 7973-9 273,16",FB_7313400_20250825
OFX,112,20250825,73134.00,"TRANSF 7973-9 5.548,48",FB_7313400_20250825
OFX,113,20250825,73134.00,"TRANSF 7973-9 475,59",FB_7313400_20250825
